name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories,raw_modalities,types
Photography Courses Kenya | Videography Courses | Film Production Courses | Video Editing,ChIJzQJfb8YRLxgRFvRryCJ_9js,"5th Floor, Room 516, Information House Mfangano Street &, Junction, Hakati Rd, Nairobi, Kenya",,-1.2873794,36.8281201,https://musicschool.ke/videography-courses-kenya/,https://maps.google.com/?cid=4320780679876703254,4.9,(76),low-impact-training,low-impact-training,establishment; point_of_interest; university
Nairobi Fitness Consulting,ChIJRbb9LlIRLxgRq-Zg5AGmJUA,"Western Heights, Karuna Rd, Nairobi, Kenya",,-1.2594014,36.8007166,https://nbofitness.com/,https://maps.google.com/?cid=4622283119622416043,4.7,(3),low-impact-training; personal-training; strength-training,low-impact-training; personal-training; strength-training,establishment; gym; health; point_of_interest
Pathak's Vitality Nature Cure Centre,ChIJCd8bMci8_KERo3IUAjr0sPQ,"A1, Krishna Park, 3rd Parklands Ave, Nairobi, Kenya",Parklands,-1.2605739,36.8210321,https://www.naturecureke.life/,https://maps.google.com/?cid=17631861071135666851,5,(94),low-impact-training; yoga,low-impact-training; restorative-yoga; yoga,establishment; gym; health; point_of_interest
Cobras Taekwondo Academy,ChIJpT6yujobLxgRIZ78LLGl5G8,"PP6R+VHP, Nairobi, Kenya",,-1.2877958,36.7414436,,https://maps.google.com/?cid=8062751413282577953,5,(11),martial-arts,martial-arts; taekwondo,establishment; point_of_interest
Regional Taekwondo Club,ChIJzZywt9AQLxgRt9GogoyiP0A,"PR79+9J5, Nairobi, Kenya",,-1.2866006,36.8191152,,https://maps.google.com/?cid=4629597666331382199,5,(2),martial-arts,martial-arts; taekwondo,establishment; point_of_interest; store
Mega Fine Arts,ChIJS000LsMWLxgR1BsMG4SuR5I,"PRMP+FFG, Fairview Rd, Nairobi, Kenya",,-1.2663233,36.8361969,,https://maps.google.com/?cid=10540585335296629716,4.3,(3),martial-arts,martial-arts,establishment; health; point_of_interest; store
Sparkling taekwondo sport,ChIJI8QMrPIfLxgReN2__cnfVpQ,"Rungiri, Kenya",,-1.2471951,36.6790986,https://sparklingtaekwondo.com/,https://maps.google.com/?cid=10688976824249081208,5,(3),martial-arts,martial-arts; taekwondo,establishment; point_of_interest
Kenya Tae-Kwon-Do Association,ChIJ-zdfBTgRLxgREJQScT9LTCc,"Nairobi Central, Uniafric House, Nairobi, Kenya",,-1.2824997,36.8176634,,https://maps.google.com/?cid=2831721001561265168,5,(1),martial-arts,martial-arts; taekwondo,establishment; point_of_interest
Lionlegacy Fitness,ChIJl9RsTtIRLxgR0nVcGeQYxho,"College House, Koinange St, Nairobi, Kenya",,-1.2829317,36.8177861,https://linktr.ee/lionlegacy.fitness,https://maps.google.com/?cid=1929256858331936210,5,(27),martial-arts,martial-arts,establishment; food; gym; health; point_of_interest; store
COASTLINK TAEKWONDO AND SPORTS LIFE,ChIJwTdsVwAjLxgRAFtdzES5TA0,"RQ26+229, Ruminyi, Kenya",,-1.1998877,36.7600631,,https://maps.google.com/?cid=958344525860657920,,,martial-arts,martial-arts; taekwondo,establishment; health; point_of_interest
Jitsu Foundation Kenya,ChIJdZhhNb0ZLxgRXss9uHCn-ek,"Naushad Merali Dr, Nairobi, Kenya",,-1.2771901,36.7688516,https://www.jitsuafrica.org/,https://maps.google.com/?cid=16859690782607395678,,,martial-arts,martial-arts,establishment; health; point_of_interest
Art - Home,ChIJOzUD2BsRLxgRXiKDVYzkKzo,"No. 2064, Machakos, Machakos Rd, Nairobi City, Kenya",,-1.2990294,36.8324688,http://arthomekenya.kbo.co.ke/home,https://maps.google.com/?cid=4191695169579590238,4,(1),martial-arts,martial-arts,establishment; health; point_of_interest; store
Edu 360~ AI in Learning,ChIJj2LD4w0RLxgRzZ4m1eUnxLw,"141, Nairobi, Kenya",,-1.3009949,36.7848706,https://assessment.peardeck.com/login,https://maps.google.com/?cid=13602040642642812621,,,martial-arts,martial-arts; taekwondo,establishment; health; point_of_interest
Lions TAEKWON-DO Limuru,ChIJXzUWs709LxgR7rLAn4BozqI,"LIMURU, Kiambu Rd, Kiambu, Kenya",,-1.1080474,36.6410066,,https://maps.google.com/?cid=11731428980992029422,5,(1),martial-arts,martial-arts; taekwondo,establishment; health; point_of_interest
It's collo,ChIJe2quPzQXLxgRoSMDrIIkbj4,"Westlands Rd, Nairobi, Kenya",Westlands,-1.2684691,36.8074903,,https://maps.google.com/?cid=4498573221439939489,,,martial-arts,martial-arts; taekwondo,establishment; health; point_of_interest
Tae-Combat Fitness,ChIJQ1sMhNsTLxgRq53fCYrHVWI,"Oyster Village Donholm, Nairobi, Kenya",Donholm,-1.2939161,36.8971181,,https://maps.google.com/?cid=7085788984422407595,,,martial-arts,martial-arts; taekwondo,establishment; point_of_interest
SelfDefense Kenya Pepperspray Taser security,ChIJHbvc3nYRLxgRQnhAtMAOzj8,"3rd Floor Store C6, Sasa Mall, Along Moi Ave, Nairobi, Kenya",,-1.2856577,36.8253574,https://linktr.ee/SelfDefenseKenya_Pepperspray,https://maps.google.com/?cid=4597628490412488770,,,martial-arts,martial-arts,establishment; health; local_government_office; point_of_interest
TEAM REGIONAL TAEKWONDO DOJANG,ChIJUdMAYQAXLxgRB7dqoVgte0E,"PRVF+553, Iregi Rd, Nairobi, Kenya",,-1.2571071,36.8229201,,https://maps.google.com/?cid=4718414893289223943,,,martial-arts,martial-arts; taekwondo,establishment; health; point_of_interest
Divine Momevent Pilates Africa,ChIJY-Wbb_gFLxgRvC0X11vwP6k,"Square Luxury Mall, Red Hill Rd, Nairobi, Kenya",,-1.225511,36.78896599999999,,https://maps.google.com/?cid=12195730593183903164,5,(8),pilates; reformer-pilates,mat-pilates; pilates; reformer-pilates,establishment; gym; health; point_of_interest
