name,address,website
Performance Medicine,"85 United Nations Cres, Nairobi, Kenya",http://www.performance.ke/
Alpha Fitness Kenya,"Moi Avenue, Nairobi, Kenya",http://www.alphafitness.co.ke/
Sarit,"Sarit Centre, Lower Kabete Rd, Nairobi, Kenya",http://www.sarityourcity.com/
AFROFIT | Kisumu (KIS),"Jomo Kenyatta Hwy, Kisumu, Kenya",https://afrofit.life/
The shield dance crew,"Social Hall, Nairobi, Kenya",https://theshielddancecrew.mystrikingly.com/
Nairobi Jiu-Jitsu Academy,"2nd Floor, New Muthaiga Shopping Mall Thigiri Ridge Rd, Nairobi, Kenya",http://nairobijiujitsuacademy.com/
jiujitsu kenya,"30 Muthithi Rd, Nairobi, Kenya",http://www.jiujitsukenya.com/
Dr. Seema Sharma,"Pattni Brotherhood Hall, Fourth Parklands Ave, Nairobi, Kenya",https://www.facebook.com/profile.php?id=100003826332180
Brahma Kumaris Raja Yoga Centre,"01 Maua Close, off Parklands Rd, Nairobi, Kenya",http://africa.brahmakumaris.org/
DIANI YOGA BARN,"Close to Forest Dream Resort, Diani Beach, Kenya",http://www.dianiyogabarn.co.ke/
Pro-Action Martial Arts and Fitness Academy,"Kerarapon Drive, Natare Gardens, Kenya",http://martialartskenya.blogspot.com/
Shujaa Martial Arts Academy,"Unity House, Thika, Kenya",http://shujaamartialartsacademy.wordpress.com/
Amuma Fitness,"Umoja, Nairobi, Kenya",https://amumafitness.com/
Fitness16 Powerhouse Gym,"Juja South Road, Juja, Kenya",https://www.fitness16.com/
Intensive Training Institute,"Upperhill office suites, Nairobi, Kenya",http://www.intensivetraining.co.ke/
Delight Africa Corporate Training Solutions Kenya,"1st floor, Delight Center, Muindi Mbingu Street, opposite Jevanjee Gardens entry, +254722533771 Next to Jumia & Loris Parfum, Before Kenya Comfort Hotel, City CBD, City Centre, Central Nairobi, Kenya, Kenya",https://delightafrica.co.ke/
National Industrial Training Authority,"Commercial St, Nairobi, Kenya",http://www.nita.go.ke/
Pitman Training Kenya,"Corner Plaza, 4th Floor Parklands Rd, Nairobi, Kenya",http://www.pitman-training.com/kenya
Travel Consultancy Class,"Veterans House, Nairobi, Kenya",https://kuduhills.com/travel-consultancy-class
Impact Hub Nairobi,"Peponi Rd, Nairobi, Kenya",https://nairobi.impacthub.net/
GallopGo Stables & Riding School,"4.4E2 Forward Close, Old, off Kitisuru Rd, Nairobi, Kenya",https://www.gallopgostables.com/
E4Impact Entrepreneurship Centre Kenya,"Ushirika Rd, Nairobi, Kenya",https://www.e4iaccelerator.org/
Somo Africa,"Olympic Estate, Nairobi, Kenya",https://www.somoafrica.org/
Photography Courses Kenya | Videography Courses | Film Production Courses | Video Editing,"5th Floor, Room 516, Information House Mfangano Street &, Junction, Hakati Rd, Nairobi, Kenya",https://musicschool.ke/videography-courses-kenya/
Nairobi Fitness Consulting,"Western Heights, Karuna Rd, Nairobi, Kenya",https://nbofitness.com/
Pathak's Vitality Nature Cure Centre,"A1, Krishna Park, 3rd Parklands Ave, Nairobi, Kenya",https://www.naturecureke.life/
Lionlegacy Fitness,"College House, Koinange St, Nairobi, Kenya",https://linktr.ee/lionlegacy.fitness
MMA Advocates LLP,"FCB Mihrab, Lenana Rd, Nairobi, Kenya",http://www.mmaadvocates.co.ke/
Outdoorer KE,"1st Floor Suite 56-57, Blessed House Business Center, Thika Road Opp Garden City, Nairobi, Kenya",https://www.outdoorer.co/
Nairobi Mountain And Hiking Gear Store,"Parklands Valley View Office Park, Tower, A. First floor City Park Dr, Nairobi, Kenya",https://wildsprings.co.ke/shop/
Going Outdoor Ltd,"Galleria Mall, Nairobi, Kenya",http://www.goingoutdoor.co.ke/
Ultra Red Outdoors,"Old Mombasa Rd, Nairobi, Kenya",https://ultraredoutdoors.com/
Wild Springs Adventures,"Nairobi, Kenya",https://wildsprings.co.ke/
Going Outdoor Ltd,"Shopping Mall, Naivasha Rd, Nairobi, Kenya",http://www.goingoutdoorltd.com/
Outdoor Quest Kenya,"Moi Ave, Nairobi, Kenya",https://www.outdoorquest.co.ke/
Jacana Outdoor Solutions,"Standard St, Nairobi, Kenya",https://jacanaoutdoorsolutions.com/
Jump by Flying Fox,"Jump by Flying Fox, The Hub, 09 Langata Rd, Nairobi, Kenya",https://gojump.ke/
Trendy Outdoor Tactical,"Magic Business Center, wing b, First Floor Shop BM16 Ronald Ngala St, Nairobi, Kenya",https://trendyoutdoortactical.com/
Outdoors Africa Ltd,"Mombasa Road, Nairobi, Kenya",https://outdoorsafrica.co.ke/
Jardin Classics,"Mayfair Maisonettes, Mpaka Rd, Nairobi, Kenya",https://jardinclassics.com/
Luscious Outdoors Africa,"Lower Kabete Rd, Nairobi, Kenya",https://lusciousoutdoors.africa/
Nelai Adventures,"Kp Offices, Jakaya Kikwete Rd, Nairobi, Kenya",https://nelaiadventures.com/
Savannah outdoors safaris,"Taarifa road, Nairobi, Kenya",http://www.savannahoutdoorssafaris.com/
Nairobi National Park,"Nairobi, Kenya",https://www.kws.go.ke/nairobi-national-park
Outdoor Home Curtains BBS Mall Eastleigh,"BBS Mall, Nairobi, Kenya",https://www.outdoorcurtains.co.ke/
Outdoor Occasions,"MRV2+3X5, Mtongwe Rd, Nairobi City, Kenya",http://www.outdooroccasions.co.ke/
The Nairobi Arboretum,"Kilimani Arboretum Rd, off State House Rd, Nairobi, Kenya",https://nairobiarboretum.org/index.php/visitor-information/
Giraffe Centre,"Duma Rd, Nairobi, Kenya",https://www.giraffecentre.org/
Fitness & Outdoors Kenya,"National Park East Gate Rd, Nairobi, Kenya",https://m.facebook.com/fitnessoutdoorskenya/?ref=bookmarks
Blaze Consulting - Corporate Teambuilding / Corporate Training / Event hosting,"Rimpa, Magadi road, Nairobi, Kenya",http://www.blazeconsulting.co.ke/
TipwaTipwa,"Lavington Mall Nairobi KE, Nairobi, Kenya",https://www.tipwatipwa.com/
MoW Sports Club,"Muhoho Avenue, Adjacent to CID Training School Pavilion, Nairobi, Kenya",http://www.mowsportsclub.go.ke/homepage
DENNISON FITNESS,"vision vision court, Nairobi, Kenya",http://dennisonfitness.com/
