name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types,scan_errors
Carrefour Market Westgate,ChIJoW21T0IXLxgRF30MHWrQwy0,"Westgate Shopping Mall, Nairobi, Kenya",,-1.2567709,36.8033238,https://www.carrefourkenya.com/,https://maps.google.com/?cid=3297708506337803543,4.5,(1554),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
Naivas Supermarket - Freedom Heights Mall Langata,ChIJzSJxWrYRLxgRa-jE_bDOcmo,"Nairobi West, Nairobi, Kenya",,-1.3219225,36.8020164,https://naivas.online/,https://maps.google.com/?cid=7670420374932482155,4.4,(1294),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,
Naivas Foodmarket - Prestige Plaza,ChIJY6i0nMYRLxgRsd4gJVAbCl4,"Ngong Road Prestige Plaza Shopping Mall, Nairobi, Kenya",Ngong Road,-1.3000633,36.7870688,https://naivas.online/,https://maps.google.com/?cid=6776258620366577329,4.5,(1892),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,
Quick Mart Mfangano,ChIJr0bA8YwRLxgRx5dScM_HkJM,"13789 Mfangano St, Nairobi, Kenya",,-1.2876892,36.8282345,https://www.quickmart.co.ke/,https://maps.google.com/?cid=10633218413978359751,4.3,(2586),boxing,boxing,fallback_original,rejected,0,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,
Studio Plume Kenya,ChIJPY6p-bIXLxgRNBOqmptnKQo,"Square Luxury Mall (Annex, 2 Red Hill Rd, Nairobi, Kenya",,-1.2266689,36.7972737,http://www.studioplumekenya.com/,https://maps.google.com/?cid=732230332436845364,5,(10),pilates; prenatal-postnatal; reformer-pilates; strength-training,pilates; prenatal-postnatal; reformer-pilates; strength-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
Mike Wambati,ChIJ2are7sgRLxgRISI_2wrcJeQ,"Nairobi, Kenya",,-1.2892786,36.7869311,https://youtube.com/c/MikeWambati,https://maps.google.com/?cid=16439787953971995169,,,hiit-bootcamp; martial-arts,hiit-bootcamp; martial-arts,fallback_original,rejected,0.25,establishment; health; point_of_interest,
Sarabi Rooftop,ChIJdfO2JGsXLxgRAze3-82sgPE,"Sankara Nairobi, 05 Woodvale Grv, Nairobi, Kenya",,-1.2621976,36.8025034,https://sankara.com/dining/sarabi-rooftop-bar/,https://maps.google.com/?cid=17402098960850958083,4.4,(455),dance,dance,fallback_original,rejected,0.25,bar; establishment; food; point_of_interest; restaurant,[object Object]
Dancing Spoon Restaurant,ChIJwc9OrNcQLxgRoUSCoceoOuM,"Nairobi Central Mama Ngina St 20th Century Bldg, Starehe, Kenya",,-1.2857181,36.8227121,https://www.dancingspoon.co.ke/,https://maps.google.com/?cid=16373584970620486817,4.2,(49),dance,dance,fallback_original,rejected,0.25,establishment; food; point_of_interest; restaurant,[object Object]
The Venue Bar and Bistro,ChIJbS2WGBcbLxgR6Ly7SN_MvsY,"Karen, Nairobi, Kenya",Karen,-1.3237056,36.7081375,https://thevenue.ke/,https://maps.google.com/?cid=14321109124454792424,4.5,(906),dance,dance,fallback_original,rejected,0.25,bar; establishment; food; night_club; point_of_interest; restaurant,[object Object]
Nairobi Street Kitchen,ChIJt1Jlq00XLxgR_EqbyJNNUdE,"1870 Mpaka Rd, Nairobi, Kenya",,-1.2655732,36.8042136,http://www.nairobistreetkitchen.com/,https://maps.google.com/?cid=15082921924161653500,4.5,(3101),dance,dance,fallback_original,rejected,0.25,establishment; food; point_of_interest; restaurant,[object Object]
Tigoni Wellness Center - YOGA & SAUNA,ChIJSTvleQAnLxgRQ0O9KF3qiKM,"Limuru Town., Kenya",,-1.1258125,36.6801875,https://manimungai.com/yoga/,https://maps.google.com/?cid=11783926110851253059,4.9,(26),yoga,yoga,fallback_original,rejected,0.25,establishment; health; point_of_interest,[object Object]
